,RA_DBTP,DEC_DBTP,ID_B,RA_B,DEC_B,F775W_B,F775W_GALFIT_B,Re_B,nSer_B,Morph_B,ba_B,B_B,sigma_B,r_i_B,e_r_i_B,i_z_B,e_i_z_B,r_z_B,e_r_z_B,nm_col_T,ID_T,RA_T,DEC_T,zmag_T,VRc_T,Rci_T,i_z_T,zph_T,zsp_T,Zspmin_T,zpsmax_T,zconf_T,ID_P,RA_P,DEC_P,zmag_auto_P,zmag_col_P,Ks_col_P,z50_P,z025_z_P,z975_P,zspec_P,lmass_P,density_P,ID_D,RA_D,DEC_D,Z_D,EL_D,TYPE_D,AUTO_R_D,ERR_AUTO_R_D,AP_R_D,ERR_AP_R_D,AUTO_I_D,ERR_AUTO_I_D,AP_I_D,ERR_AP_I_D,AUTO_Z_D,ERR_AUTO_Z_D,AP_Z_D,ERR_AP_Z_D,AUTO_J_D,ERR_AUTO_J_D,AP_J_D,ERR_AP_J_D,AUTO_KS_D,ERR_AUTO_KS_D,AP_KS_D,ERR_AP_KS_D,STEL_MASS_D,U,U_err,NUV
0,28.17325,-14.00679,543.0,28.17325,-14.00679,22.29,22.13,0.96,2.4,3.0,0.41,0.447,0.017,1.28,0.026,0.641,0.016,1.921,0.021,,,,,,,,,,,,,,G052201,28.173233,-14.006804,21.7998,21.8722,18.7302,0.79750000,0.77090000,0.82610000,0.82480001,10.7038,10.1445,18,28.17325,-14.006792,0.8248,1,3,23.786,0.034,24.048,0.023,22.438,0.012,22.75,0.009,21.862,0.012,22.135,0.009,22.547,63844.953,23.308,0.0,20.359,0.700,20.902,0.0,nan,27.0450,0.9726,
1,28.18989,-14.00385,1694.0,28.18989,-14.00385,22.08,22.36,0.5,0.79,3.0,0.62,0.256,-0.027,1.178,0.028,0.486,0.019,1.663,0.026,,,,,,,,,,,,,,G052753,28.189857,-14.003882,21.6959,21.7990,18.5832,0.79880000,0.79000000,0.80940000,0.84359998,10.5020,8.53842,47,28.189893,-14.003847,0.8436,1,3,23.197,0.018,23.496,0.014,22.244,0.009,22.49,0.007,21.804,0.011,22.03,0.008,21.312,0.069,21.331,0.08,20.471,0.067,20.266,0.065,6.3E10,24.3403,0.2413,25.767237
2,28.1747,-13.99799,1142.0,28.1747,-13.99799,21.31,21.4,0.56,4.0,-5.0,0.82,0.1,0.105,1.275,0.018,0.695,0.01,1.97,0.01,,,,,,,,,,,,,,G054081,28.174692,-13.998043,20.7010,20.9674,17.8291,0.82170000,0.80730000,0.83640000,0.82529998,10.9922,29.7792,85,28.174701,-13.997986,0.8258,0,-5,22.629,0.016,23.128,0.01,21.448,0.007,21.894,0.004,20.797,0.006,21.23,0.004,20.343,0.047,20.57,0.058,19.515,0.039,19.724,0.049,1.4E11,26.3197,0.6547,27.892746
3,28.17957,-14.00009,1358.0,28.17957,-14.00009,22.61,22.42,0.49,2.51,-1.0,0.75,0.217,-0.012,1.209,0.029,0.59,0.02,1.799,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,97,28.179573,-14.000095,0.8288,0,-1,23.986,0.028,24.022,0.023,22.797,0.011,22.837,0.009,22.252,0.012,22.285,0.01,21.962,0.098,21.687,0.099,21.213,0.086,20.919,0.085,1.6E10,27.4720,1.0813,
4,28.17166,-13.99879,950.0,28.17166,-13.99879,22.7,22.73,0.27,3.08,-1.0,0.43,0.123,0.059,1.26,0.032,0.654,0.025,1.914,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,113,28.171657,-13.998786,0.8237,0,-1,24.083,0.024,24.088,0.024,22.877,0.009,22.861,0.01,22.28,0.009,22.249,0.009,22.204,0.107,21.643,0.095,21.477,0.096,20.936,0.085,1.5E10,26.8886,0.9770,26.022097
5,28.17456,-13.9973,1264.0,28.17456,-13.9973,22.95,23.06,0.14,4.0,-5.0,0.47,0.1,0.111,1.297,0.036,0.658,0.029,1.955,0.041,,,,,,,,,,,,,,G053750,28.174557,-13.997365,22.1566,22.2206,19.0624,0.80430000,0.78890000,0.82000000,0.82560003,10.3118,8.76647,129,28.174559,-13.997303,0.8256,0,-5,24.31,0.029,24.281,0.029,23.101,0.012,23.072,0.012,22.515,0.012,22.474,0.012,22.259,0.115,21.758,0.105,21.58,0.105,21.183,0.102,1.3E10,26.3223,0.5796,26.393593
6,28.21666,-13.97119,3941.0,28.21666,-13.97119,20.71,20.79,1.41,4.0,-5.0,0.8,0.263,0.104,1.284,0.017,0.711,0.01,1.994,0.01,,,,,,,,,,,,,,G058984,28.216614,-13.970779,20.5417,20.7106,17.4621,0.82180000,0.81150000,0.83190000,0.84729999,11.4074,246.408,1501,28.21666,-13.970745,0.8473,0,-1,22.475,0.013,22.852,0.008,21.27,0.005,21.68,0.003,20.603,0.005,21.011,0.003,20.112,0.041,20.312,0.051,19.244,0.034,19.444,0.043,1.9E11,25.6382,1.0550,25.928014
7,28.1817,-13.99381,1895.0,28.1817,-13.99381,22.64,22.72,0.4,4.0,0.0,0.7,0.35,-0.012,1.058,0.032,0.494,0.024,1.552,0.033,,,,,,,,,,,,,,G054474,28.181673,-13.993867,21.9783,22.2450,19.3007,0.85310000,0.82650000,0.86970000,0.8427,10.4213,6.76789,177,28.181701,-13.993814,0.8427,0,0,23.889,0.029,24.047,0.023,22.797,0.013,22.929,0.01,22.342,0.015,22.456,0.011,22.05,0.102,21.888,0.108,21.441,0.1,21.281,0.104,1.3E10,26.0456,0.5078,28.222776
8,28.1974,-13.99036,3055.0,28.1974,-13.99036,20.92,20.55,2.72,4.0,1.0,0.5,0.395,0.055,1.323,0.017,0.716,0.01,2.039,0.01,,,,,,,,,,,,,,G055868,28.197362,-13.990398,20.3409,20.7685,17.3957,0.81760000,0.81050000,0.82700000,0.83859998,11.4236,19.8176,204,28.197403,-13.990356,0.8386,1,1,22.227,0.015,23.286,0.012,21.025,0.006,21.993,0.004,20.378,0.006,21.256,0.004,19.827,0.036,20.345,0.052,19.022,0.032,19.453,0.043,2.4E11,25.5207,0.4634,26.797363
9,28.16637,-13.988,1290.0,28.16637,-13.988,22.4,22.68,0.43,2.42,3.0,0.67,0.415,0.116,0.717,0.032,0.31,0.024,1.027,0.033,,,,,,,,,,,,,,G055432,28.166076,-13.987810,22.6942,22.7146,19.9755,0.73140000,0.72330000,0.73940000,0.84740001,9.95674,0.865731,267,28.166478,-13.988434,0.8443,1,3,23.625,0.033,24.274,0.029,22.687,0.017,23.165,0.013,22.134,0.018,22.455,0.012,21.532,0.084,21.646,0.098,20.824,0.074,20.929,0.086,5.3E10,24.5120,0.2352,25.15703
