# ID    RA         DEC         Z      EL TYPE AUTO_R ERR_AUTO_R AP_R   ERR_AP_R AUTO_I ERR_AUTO_I AP_I   ERR_AP_I AUTO_Z ERR_AUTO_Z AP_Z   ERR_AP_Z AUTO_J ERR_AUTO_J AP_J   ERR_AP_J AUTO_KS ERR_AUTO_KS AP_KS  ERR_AP_KS STEL_MASS
  18    28.17325   -14.006792  0.8248 1  3    23.786 0.034      24.048 0.023    22.438 0.012      22.75  0.009    21.862 0.012      22.135 0.009    22.547 63844.953  23.308 0.0      20.359  0.700    20.902 0.0       nan    
  26b   28.201341  -14.006156  0.8372 1  4    nan   nan       nan   nan     nan   nan       nan   nan     nan   nan       nan   nan     nan   nan       nan   nan     nan    nan        nan   nan      nan    
  35    28.181775  -14.005747  0.8323 1  0    25.106 0.053      25.027 0.058    24.017 0.023      23.941 0.025    23.6   0.027      23.552 0.03     98.986 nan       22.555 0.228    21.707  0.104       22.047 0.259     1.4E10   
  47    28.189893  -14.003847  0.8436 1  3    23.197 0.018      23.496 0.014    22.244 0.009      22.49  0.007    21.804 0.011      22.03  0.008    21.312 0.069      21.331 0.08     20.471  0.067       20.266 0.065     6.3E10   
  67    28.154575  -14.00196   0.839  1 nan  nan   nan       nan   nan     nan   nan       nan   nan     nan   nan       nan   nan     nan   nan       nan   nan     nan    nan        nan   nan      nan    
  81    28.184613  -14.0017    0.8433 0  -5   23.724 0.016      23.679 0.017    22.475 0.006      22.43  0.006    21.766 0.006      21.716 0.006    21.697 0.086      21.184 0.078    20.738  0.068       20.247 0.061     2.4E10   
  85    28.174701  -13.997986  0.8258 0  -5   22.629 0.016      23.128 0.01     21.448 0.007      21.894 0.004    20.797 0.006      21.23  0.004    20.343 0.047      20.57  0.058    19.515  0.039       19.724 0.049     1.4E11   
  97    28.179573  -14.000095  0.8288 0  -1   23.986 0.028      24.022 0.023    22.797 0.011      22.837 0.009    22.252 0.012      22.285 0.01     21.962 0.098      21.687 0.099    21.213  0.086       20.919 0.085     1.6E10   
  113   28.171657  -13.998786  0.8237 0  -1   24.083 0.024      24.088 0.024    22.877 0.009      22.861 0.01     22.28  0.009      22.249 0.009    22.204 0.107      21.643 0.095    21.477  0.096       20.936 0.085     1.5E10   
  125   28.220741  -13.997623  0.8376 1  1    nan   nan       nan   nan     nan   nan       nan   nan     nan   nan       nan   nan     nan   nan       nan   nan     nan    nan        nan   nan      nan    
