# ID           RA              DEC              zmag_auto     zmag_col      Ks_col        z50              z025             z975             zspec            lmass         density
G007917        28.148344       -14.231040       22.0373       22.0412       99.0000       0.68600000       0.63470000       0.74440000       -1.0000000       9.92003       1.10677
G006614        28.108391       -14.237616       20.1697       20.3178       99.0000       0.78710000       0.77050000       0.80250000       -1.0000000       11.0609       1.89755
G007691        28.132171       -14.233517       21.5330       22.3592       99.0000       0.65930000       0.64910000       0.66910000       -1.0000000       10.0686       1.18895
G007486        28.131846       -14.232986       22.3062       22.7778       99.0000       0.66940000       0.62670000       0.71320000       -1.0000000       10.3421       1.20430
G007932        28.204555       -14.230925       21.9002       21.9669       99.0000       0.88390000       0.85800000       0.91890000       -1.0000000       10.3680       2.27221
G008222        28.279309       -14.229798       22.7809       22.7674       99.0000       0.64260000       0.64010000       0.64740000       -1.0000000       8.98044      0.880886
G005885        28.137859       -14.239729       21.7390       21.7761       99.0000       0.73630000       0.67550000       0.77880000       -1.0000000       10.5051       3.05361
G008177        28.123651       -14.231634       20.3184       20.4241       99.0000       0.71830000       0.70280000       0.73270000       -1.0000000       10.8302       2.40108
G008156        28.113602       -14.230812       21.4876       21.5636       99.0000       0.88530000       0.85990000       0.91330000       -1.0000000       10.4312       5.04090
G008160        28.109980       -14.231101       21.1730       21.2527       99.0000       0.83530000       0.81820000       0.85110000       -1.0000000       10.2666       2.74749
G008101        28.120838       -14.230828       21.7611       21.8311       99.0000       0.66690000       0.62970000       0.69900000       -1.0000000       10.3312       1.45992
G008328        28.099569       -14.229410       22.4092       22.3899       99.0000       0.79020000       0.73570000       0.82300000       -1.0000000       10.4316       1.88359
G008341        28.187225       -14.229452       22.1539       22.1418       99.0000       0.69110000       0.67590000       0.70430000       -1.0000000       9.75677      0.603027
G008736        28.205831       -14.227741       23.2581       23.2616       99.0000       0.72640000       0.70320000       0.77430000       -1.0000000       9.52553      0.616268
G008389        28.145028       -14.230023       20.8251       20.9213       99.0000       0.82730000       0.80550000       0.85750000       -1.0000000       10.9328       7.09123
G008983        28.132116       -14.227392       21.6610       21.7282       99.0000       0.74570000       0.72070000       0.78020000       -1.0000000       10.1157       6.48419
G009333        28.128050       -14.225829       22.6552       22.6468       99.0000       0.80970000       0.79550000       0.82390000       -1.0000000       9.66744       6.64609
G009530        28.128476       -14.224149       22.8415       22.9818       99.0000       0.72630000       0.71440000       0.73800000       -1.0000000       9.59198       3.28550
G009342        28.206715       -14.224728       23.2914       23.3103       99.0000       0.65960000       0.63620000       0.67920000       -1.0000000       9.06238      0.429776
G009646        28.061214       -14.224370       21.2553       21.3521       99.0000       0.72580000       0.71050000       0.74250000       -1.0000000       9.96688       1.12883
G009590        28.212806       -14.224162       21.9035       21.9457       99.0000       0.84070000       0.79150000       0.88040000       -1.0000000       10.0979       1.64693
G009559        28.274766       -14.224685       22.0960       22.1196       99.0000       0.74050000       0.73070000       0.74930000       -1.0000000       9.64433       1.02025
G009856        28.107926       -14.223626       21.9574       22.0174       99.0000       0.87990000       0.78040000       0.90490000       -1.0000000       10.2671       9.71543
G009796        28.205184       -14.223048       22.8668       22.8733       99.0000       0.64300000       0.64010000       0.64920000       -1.0000000       9.08016      0.712392
G009795        28.232212       -14.224225       20.4200       20.4621       99.0000       0.79100000       0.75840000       0.81630000       -1.0000000       10.7292       3.57933
G009950        28.162946       -14.223984       21.0791       21.2179       99.0000       0.85890000       0.81880000       0.89530000       -1.0000000       11.3449       1.62282
G010374        28.267439       -14.221148       21.9320       21.9298       99.0000       0.77680000       0.76620000       0.78550000       -1.0000000       10.6406       2.59005
G010201        28.137125       -14.223407       20.7562       20.9376       99.0000       0.82290000       0.81240000       0.83440000       -1.0000000       11.4387       4.65278
G010241        28.122101       -14.222024       22.0034       22.0835       99.0000       0.84080000       0.82240000       0.85490000       -1.0000000       10.1922       5.66334
